all,quarter,industry_section_code,industry_section,industry_division,number_of_persons_engaged_total,number_of_persons_engaged_male,number_of_persons_engaged_female,number_of_vacancies,number_of_establishments
All,2000 Q1,C,Manufacturing,Manufacture of food products,17507,10836,6671,190,657
All,2000 Q1,C,Manufacturing,Manufacture of beverages,3221,2725,496,28,28
All,2000 Q1,C,Manufacturing,Manufacture of tobacco products,426,328,98,0,3
All,2000 Q1,C,Manufacturing,Manufacture of textiles,16297,10114,6183,73,1448
All,2000 Q1,C,Manufacturing,Manufacture of wearing apparel,52249,14862,37387,969,2793
All,2000 Q1,C,Manufacturing,"Manufacture of leather and related products; Manufacture of wood and of products of wood and cork, articles of straw and plaiting materials (except furniture and toys)",1486,1074,412,1,428
All,2000 Q1,C,Manufacturing,Manufacture of paper and paper products,3432,2550,882,15,619
All,2000 Q1,C,Manufacturing,Printing and reproduction of recorded media,28486,20622,7864,234,4050
All,2000 Q1,C,Manufacturing,Manufacture of coke and refined petroleum products; Manufacture of chemicals and chemical products,2364,1699,665,24,240
All,2000 Q1,C,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2368,1060,1308,15,189
All,2000 Q1,C,Manufacturing,"Manufacture of rubber and plastics products (except furniture, toys, sports goods and stationery)",6335,4356,1979,49,1081
All,2000 Q1,C,Manufacturing,Manufacture of other non-metallic mineral products,2712,2276,436,2,258
All,2000 Q1,C,Manufacturing,Manufacture of basic metals,1387,1154,233,14,138
All,2000 Q1,C,Manufacturing,Manufacture of fabricated metal products (except machinery and equipment),10310,7682,2628,54,2065
All,2000 Q1,C,Manufacturing,"Manufacture of computer, electronic and optical products",24878,11244,13634,400,808
All,2000 Q1,C,Manufacturing,Manufacture of electrical equipment,5327,2987,2340,38,428
All,2000 Q1,C,Manufacturing,Manufacture of machinery and equipment n.e.c.,6355,5033,1322,47,1400
All,2000 Q1,C,Manufacturing,Body assembly of motor vehicles; Manufacture of other transport equipment,1545,1234,311,65,87
All,2000 Q1,C,Manufacturing,Manufacture of furniture,990,800,190,8,304
All,2000 Q1,C,Manufacturing,Other manufacturing,13819,9061,4758,149,2307
All,2000 Q1,C,Manufacturing,Repair and installation of machinery and equipment,14066,11268,2798,171,1819
All,2000 Q1,B,Mining and quarrying,Quarrying and other mining of non-metal ores,332,316,16,0,5
All,2000 Q1,D,Electricity and gas supply,Electricity and gas supply,8506,7448,1058,13,19
All,2000 Q1,E,"Sewerage, waste management and remediation services",Sewerage,640,376,264,0,37
All,2000 Q1,E,"Sewerage, waste management and remediation services","Waste collection, treatment and disposal; materials recovery",2552,1436,1116,22,227
All,2000 Q1,E,"Sewerage, waste management and remediation services",Remediation and other waste management services,128,90,38,0,15
All,2000 Q1,F,Construction,Construction sites (manual workers only),74521,69852,4669,240,1000
All,2000 Q1,F,Construction,Public sector sites,43286,40998,2288,230,454
All,2000 Q1,F,Construction,Public sector building sites,29316,27374,1942,58,231
All,2000 Q1,F,Construction,Public sector civil engineering sites,13970,13624,346,172,223
All,2000 Q1,F,Construction,Private sector sites,31235,28854,2381,10,546
All,2000 Q1,F,Construction,Private sector building sites,29641,27308,2333,10,476
All,2000 Q1,F,Construction,Private sector civil engineering sites,1594,1546,48,0,70
All,2000 Q1,G,"Import/export, wholesale and retail trades",Import and export trade,525741,288698,237043,9226,107571
All,2000 Q1,G,"Import/export, wholesale and retail trades",Wholesale,75203,48078,27125,1123,16315
All,2000 Q1,G,"Import/export, wholesale and retail trades",Retail trade,206025,98130,107895,2501,56535
All,2000 Q1,H,"Transportation, storage, postal and courier services",Land transport,44085,37709,6376,169,2677
All,2000 Q1,H,"Transportation, storage, postal and courier services",Water transport,10053,6399,3654,141,410
All,2000 Q1,H,"Transportation, storage, postal and courier services",Air transport,14061,5109,8952,75,116
All,2000 Q1,H,"Transportation, storage, postal and courier services",Warehousing and support services for transportation,53512,35251,18261,503,3922
All,2000 Q1,H,"Transportation, storage, postal and courier services",Postal and courier services,9622,6036,3586,304,581
All,2000 Q1,I,Accommodation and food services,Accommodation services,28399,16349,12050,547,772
All,2000 Q1,I,Accommodation and food services,Food and beverage services,190854,95894,94960,1504,10772
All,2000 Q1,J,Information and communications,Publishing,18675,11128,7547,338,1031
All,2000 Q1,J,Information and communications,"Motion picture, video and television programme production, sound recording and music publishing; Programming and broadcasting",14374,9267,5107,304,1531
All,2000 Q1,J,Information and communications,Telecommunications,25055,15677,9378,466,473
All,2000 Q1,J,Information and communications,Information technology services,15903,11177,4726,815,2675
All,2000 Q1,J,Information and communications,Information services,2602,1456,1146,59,306
All,2000 Q1,K,Financing and insurance,Financial services (except insurance and pension funding),109537,51567,57970,1438,6054
All,2000 Q1,K,Financing and insurance,Insurance,10445,4089,6356,401,166
All,2000 Q1,K,Financing and insurance,Services auxiliary to financial and insurance services,41392,21165,20227,1275,8704
All,2000 Q1,L,Real estate,Real estate,83676,57670,26006,1989,11290
All,2000 Q1,M,"Professional, scientific and technical services",Legal and accounting services,31619,14457,17162,481,4494
All,2000 Q1,M,"Professional, scientific and technical services",Activities of head offices; management and management consultancy services,17795,8682,9113,381,2955
All,2000 Q1,M,"Professional, scientific and technical services","Architecture and engineering services, technical testing and analysis",25857,17993,7864,409,2351
All,2000 Q1,M,"Professional, scientific and technical services",Scientific research and development,201,120,81,0,31
All,2000 Q1,M,"Professional, scientific and technical services",Advertising and market research,13472,7517,5955,488,2853
