職業 Occupation,首5個提及曾參加由僱主安排與工作有關的培訓／再培訓課程# Top 5 cited job-related training / retraining courses# attended as arranged by employers,人數 No. of  persons ('000),百分比* %*,,,,,,,,,,,,,
"經理及行政級人員、專業人員與輔助專業人員 Managers and administrators, professionals and associate professionals",對所售賣產品及提供服務的知識 Knowledge of products and services offered,120.3,35.4,,1,,1,對所售賣產品及提供服務的知識 Knowledge of products and services offered,,,,,,,,#eb5d0f
"經理及行政級人員、專業人員與輔助專業人員 Managers and administrators, professionals and associate professionals",員工訓練及輔導 Staff training and counselling,57.1,16.8,,2,,2,員工訓練及輔導 Staff training and counselling,,,,,,,,#2718e6
"經理及行政級人員、專業人員與輔助專業人員 Managers and administrators, professionals and associate professionals",領導才能及團隊合作 Leadership and teamwork,52.2,15.4,,3,,3,領導才能及團隊合作 Leadership and teamwork,,,,,,,,#980c2e
"經理及行政級人員、專業人員與輔助專業人員 Managers and administrators, professionals and associate professionals",適應新工作程序或其他轉變的能力 Ability to adapt to new work procedure or other changes,38.3,11.3,,4,,4,適應新工作程序或其他轉變的能力 Ability to adapt to new work procedure or other changes,,,,,,,,#d997c6
"經理及行政級人員、專業人員與輔助專業人員 Managers and administrators, professionals and associate professionals",人力資源管理 Human resource management,35.5,10.4,,5,,5,人力資源管理 Human resource management,,,,,,,,#bee544
文書支援人員 Clerical support workers,員工訓練及輔導 Staff training and counselling,29.2,26.1,,2,,6,創意及創新 Creativity and innovation,,,,,,,,#7b64cf
文書支援人員 Clerical support workers,適應新工作程序或其他轉變的能力 Ability to adapt to new work procedure or other changes,22.6,20.2,,4,,7,管理個人時間及編排個人工作 Time management and work organisation,,,,,,,,#c7a585
文書支援人員 Clerical support workers,創意及創新 Creativity and innovation,21.3,19,,6,,8,客戶服務技巧 Customer service skills,,,,,,,,#0a8920
文書支援人員 Clerical support workers,對所售賣產品及提供服務的知識 Knowledge of products and services offered,19.6,17.5,,1,,9,其他特定工作技能 Other job-specific skills,,,,,,,,#CBB446
文書支援人員 Clerical support workers,管理個人時間及編排個人工作 Time management and work organisation,19.2,17.2,,7,,,,,,,,,,,
服務工作及銷售人員 Service and sales workers,對所售賣產品及提供服務的知識 Knowledge of products and services offered,36.5,35.3,,1,,,,,,,,,,,
服務工作及銷售人員 Service and sales workers,適應新工作程序或其他轉變的能力 Ability to adapt to new work procedure or other changes,22.9,22.1,,4,,,,,,,,,,,
服務工作及銷售人員 Service and sales workers,員工訓練及輔導 Staff training and counselling,16.8,16.2,,2,,,,,,,,,,,
服務工作及銷售人員 Service and sales workers,創意及創新 Creativity and innovation,16.1,15.6,,6,,,,,,,,,,,
服務工作及銷售人員 Service and sales workers,客戶服務技巧 Customer service skills,15.3,14.8,,8,,,,,,,,,,,
"工藝及有關人員、機台及機器操作員及裝配員 Craft and related workers, plant and machine operators and assemblers",對所售賣產品及提供服務的知識 Knowledge of products and services offered,22.9,31.5,,1,,,,,,,,,,,
"工藝及有關人員、機台及機器操作員及裝配員 Craft and related workers, plant and machine operators and assemblers",適應新工作程序或其他轉變的能力 Ability to adapt to new work procedure or other changes,19.7,27.2,,4,,,,,,,,,,,
"工藝及有關人員、機台及機器操作員及裝配員 Craft and related workers, plant and machine operators and assemblers",其他特定工作技能 Other job-specific skills,19.1,26.3,,9,,,,,,,,,,,
"工藝及有關人員、機台及機器操作員及裝配員 Craft and related workers, plant and machine operators and assemblers",創意及創新 Creativity and innovation,15.8,21.7,,6,,,,,,,,,,,
"工藝及有關人員、機台及機器操作員及裝配員 Craft and related workers, plant and machine operators and assemblers",管理個人時間及編排個人工作 Time management and work organisation,14.9,20.5,,7,,,,,,,,,,,
非技術工人 Elementary occupations,對所售賣產品及提供服務的知識 Knowledge of products and services offered,13.5,31.8,,1,,,,,,,,,,,
非技術工人 Elementary occupations,適應新工作程序或其他轉變的能力 Ability to adapt to new work procedure or other changes,12.2,28.7,,4,,,,,,,,,,,
非技術工人 Elementary occupations,創意及創新 Creativity and innovation,10.2,24,,6,,,,,,,,,,,
非技術工人 Elementary occupations,管理個人時間及編排個人工作 Time management and work organisation,8.1,19.2,,7,,,,,,,,,,,
非技術工人 Elementary occupations,其他特定工作技能 Other job-specific skills,7.5,17.8,,9,,,,,,,,,,,
